Altium Designer Pick and Place Locations
D:\Git\pcb_88-pcb_82-pcb_75\pcb_75\Project Outputs for pcb_75\Sch&Bom&Assembly&XY\Pick Place for pcb_75.csv

========================================================================================================================
File Design Information:

Date:       05/04/21
Time:       21:04
Revision:   bbc49e21e08f6e492c31eb4ab96dead7a3990dc6
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Center-X(mil)","Center-Y(mil)","Rotation","·â×°"
"P4","Header 2","TopLayer","723.301","1030.000","150","/"
"C29","47uF","TopLayer","-677.953","227.500","360","CASE-E_7343"
"C28","47uF","TopLayer","-677.953","454.998","360","CASE-E_7343"
"TVS1","SMBJ5.0CA","TopLayer","865.000","675.000","240","SMB"
"R16","150R","TopLayer","-780.000","-606.968","270","2512"
"R14","1R","TopLayer","795.000","-25.000","150","0603"
"R13","1R","TopLayer","358.529","-473.984","240","0603"
"R12","1R","TopLayer","657.010","-214.225","240","0603"
"R11","750R","TopLayer","816.379","-298.190","240","2512"
"R10","1M","TopLayer","713.301","-246.725","240","0603"
"R9","330R","TopLayer","646.548","538.484","150","2512"
"R8","0.5R","TopLayer","670.000","-805.000","330","2512"
"R7","330R","TopLayer","333.452","716.516","150","2512"
"Q8","MMBT3904LT3G","TopLayer","598.150","-313.783","150","SOT23-3"
"Q7","FDV301N","TopLayer","736.697","-99.324","330","SOT-23-3"
"Q6","IRF7807ZTRPBF","TopLayer","380.000","-724.019","150","SOIC-8_150mil"
"Q5","MMBT3906TT1G","TopLayer","533.150","-426.366","150","SOT23-3"
"P3","Header 2","TopLayer","1025.000","581.699","60","/"
"P2","Header 2","TopLayer","386.699","1220.000","330","/"
"P1","Header 2","TopLayer","-860.000","-865.000","180","/"
"B1","1k¦¸ @ 100MHz","TopLayer","910.000","920.000","330","1206"
"L2","470uH","TopLayer","445.000","945.000","150","8.5*8.3"
"L1","TRANSFORM","TopLayer","-37.565","97.317","60","X"
"J1","HEADER3/2.54","TopLayer","990.000","-635.000","240","/"
"D2","BAS28","TopLayer","195.000","1153.410","60","SOT-143B"
"D1","BAS28","TopLayer","125.000","1026.590","240","SOT-143B"
"C27","47uF","TopLayer","-677.953","682.500","360","CASE-E_7343"
"C20","47uF","TopLayer","-1052.953","682.500","180","CASE-E_7343"
"C19","47uF","TopLayer","-1052.953","455.000","180","CASE-E_7343"
"C18","47uF","TopLayer","-1052.953","227.500","180","CASE-E_7343"
"C17","47uF","TopLayer","-1052.953","0.000","180","CASE-E_7343"
"C16","47uF","TopLayer","-1052.953","-227.500","180","CASE-E_7343"
"C15","47uF","TopLayer","-1052.953","-455.000","180","CASE-E_7343"
"C14","47uF","TopLayer","-1052.953","-682.500","180","CASE-E_7343"
"C10","100pF","TopLayer","414.820","-506.484","240","0603"
"C9","100pF","TopLayer","605.048","-184.225","240","0603"
"C8","100nF","TopLayer","659.593","-469.750","60","0603"
"C7","3.3uF","TopLayer","775.837","-548.410","60","0805"
"C4","100nF","TopLayer","715.885","-502.250","60","0603"
"C3","3.3uF","TopLayer","845.119","-588.410","60","0805"
"C32","47uF","BottomLayer","-677.953","682.500","360","CASE-E_7343"
"C31","47uF","BottomLayer","-677.953","455.000","360","CASE-E_7343"
"C30","47uF","BottomLayer","-677.953","227.500","360","CASE-E_7343"
"R15","150R","BottomLayer","-780.000","-606.968","270","2512"
"R6","0.5R","BottomLayer","-35.001","-600.000","240","2512"
"R5","1M","BottomLayer","174.961","-1152.165","330","0603"
"R4","1R","BottomLayer","405.924","-1207.764","240","0603"
"R3","1R","BottomLayer","-191.634","-1027.745","150","0603"
"R2","1R","BottomLayer","204.977","-1100.197","330","0603"
"R1","750R","BottomLayer","298.615","-950.210","150","2512"
"Q4","MMBT3906TT1G","BottomLayer","-27.731","-976.792","240","SOT23-3"
"Q3","FDV301N","BottomLayer","312.215","-1153.150","60","SOT-23-3"
"Q2","IRF7807ZTRPBF","BottomLayer","-296.670","-791.274","240","SOIC-8_150mil"
"Q1","MMBT3904LT3G","BottomLayer","80.497","-1039.271","240","SOT23-3"
"C26","47uF","BottomLayer","-1052.953","-455.000","180","CASE-E_7343"
"C25","47uF","BottomLayer","-1052.953","-227.500","180","CASE-E_7343"
"C24","47uF","BottomLayer","-1052.953","0.000","180","CASE-E_7343"
"C23","47uF","BottomLayer","-1052.953","227.500","180","CASE-E_7343"
"C22","47uF","BottomLayer","-1052.953","455.000","180","CASE-E_7343"
"C21","47uF","BottomLayer","-1052.953","682.500","180","CASE-E_7343"
"C13","47uF","BottomLayer","-1052.953","-682.500","180","CASE-E_7343"
"C12","100nF","BottomLayer","67.600","-880.342","330","0603"
"C11","3.3uF","BottomLayer","173.269","-687.316","330","0805"
"C6","100pF","BottomLayer","-161.634","-975.784","150","0603"
"C5","100pF","BottomLayer","236.772","-1047.323","330","0603"
"C2","100nF","BottomLayer","100.509","-824.286","330","0603"
"C1","3.3uF","BottomLayer","133.269","-756.598","330","0805"
