Altium Designer Pick and Place Locations
D:\Git\4pcb_88_82_75_60-3pcb_50-1_50-2_55\pcb_82\Project Outputs for pcb_82\Sch&Bom&Assembly&XY\Pick Place for pcb_82.csv

========================================================================================================================
File Design Information:

Date:       23/03/21
Time:       21:50
Revision:   1c3831bfbd2cd4e5b19eb1d70ae39545e4bb6b34
Variant:    No variations
Units used: mil

"Layer","Designator","Comment","猾蚾","Center-X(mil)","Center-Y(mil)","Rotation"
"TopLayer","U17","TLV62568DBVR","SOT-23-5","-112.929","799.052","360"
"TopLayer","L12","2.2uH","NR2016","-192.929","694.052","180"
"TopLayer","L11","1k次 @ 100MHz","1206","20.000","840.000","270"
"TopLayer","L10","1k次 @ 100MHz","1206","1210.000","325.000","270"
"TopLayer","L9","4.7uH","NR2520","966.318","376.927","180"
"TopLayer","L8","2.2uH","NR2016","-199.131","988.840","180"
"TopLayer","D5","B340A-13-F","SMA","778.641","391.927","360"
"TopLayer","D4","B340A-13-F","SMA","930.958","-204.506","360"
"TopLayer","D3","B340A-13-F","SMA","990.958","-9.506","180"
"TopLayer","D2","B340A-13-F","SMA","795.958","-9.506","270"
"TopLayer","C20","10uF","0805","-297.929","775.667","270"
"TopLayer","C12","10uF","0805","975.958","-314.505","180"
"TopLayer","C9","100nF","0603","765.958","-209.506","270"
"TopLayer","B4","600次@100MHz","0805","-635.000","-335.000","270"
"TopLayer","B3","600次@100MHz","0805","-415.000","620.000","270"
"TopLayer","B2","600次@100MHz","0805","-500.000","295.000","360"
"TopLayer","B1","600次@100MHz","0805","610.958","-64.506","90"
"TopLayer","R47","100K","0603","-525.000","785.000","180"
"TopLayer","C24","100pF","0603","-525.000","845.000","180"
"TopLayer","U4","TLV61048DBVT","SOT-23-6","1140.958","-299.506","360"
"TopLayer","L1","4.7uH","NR2520","715.000","795.000","360"
"TopLayer","Y1","20MHZ","SMD-3225_4P","-440.000","425.001","270"
"TopLayer","U16","AD8510ARZ","SOIC-8_150mil","74.260","-1208.272","90"
"TopLayer","U15","AD8336","LFCSP-16","341.391","-916.808","90"
"TopLayer","U14","REF3325AIDBZR","SOT23-3","325.115","-632.232","180"
"TopLayer","U13","LTC2050HVHS6","TSOT-23-6","924.090","-678.681","15"
"TopLayer","U12","LM4051AIM3","SOT-23","772.880","-1005.484","105"
"TopLayer","U11","AD9240ASZRL","MQFP-44","-412.749","-899.039","270"
"TopLayer","U10","REF3325AIDBZR","SOT23-3","-251.178","-1329.975","90"
"TopLayer","U8","EP1C3T100C7N","TQFP100","-906.066","394.203","180"
"TopLayer","U7","TLV61048DBVT","SOT-23-6","996.318","266.927","360"
"TopLayer","U6","TLV62568DBVR","SOT-23-5","-118.322","1092.699","360"
"TopLayer","U5","LP2992AIM5-5.0/NOPB","SOT-23-5","769.781","-351.811","270"
"TopLayer","U3","ADP7182AUJZ-5.0-R7","SOT-23-5","640.958","-199.506","180"
"TopLayer","U2","TPS22917DBVR","SOT23-6","502.024","728.201","360"
"TopLayer","U1","S-8261AAJMD-G2JT2S","SOT23-6","599.648","1117.932","270"
"TopLayer","R46","100K","0603","279.153","-1349.946","360"
"TopLayer","R45","10K","0603","280.000","-1120.000","180"
"TopLayer","R44","100K","0603","345.000","-1060.000","180"
"TopLayer","R43","10K","0603","235.000","-1060.000","360"
"TopLayer","R42","1K","0603","480.131","-864.013","270"
"TopLayer","R41","100K","0603","279.153","-1236.808","360"
"TopLayer","R40","100K","0603","440.000","-1080.000","270"
"TopLayer","R39","30K","0603","275.131","-749.485","270"
"TopLayer","R38","10K","0603","215.131","-749.013","90"
"TopLayer","R37","30K","0603","1007.247","-774.942","285"
"TopLayer","R36","10K","0603","-61.649","-891.043","360"
"TopLayer","R35","1K","0603","666.758","-954.689","105"
"TopLayer","R34","2K","0603","-61.207","-1070.277","180"
"TopLayer","R33","30R","0603","-60.000","-770.000","180"
"TopLayer","R32","30R","0603","-60.000","-830.000","180"
"TopLayer","R31","51R","0603","771.636","-900.191","195"
"TopLayer","R30","1K","0603","904.637","-867.114","15"
"TopLayer","R25","4.7K","0603","-920.000","900.000","45"
"TopLayer","R24","4.7K","0603","-995.879","824.121","225"
